scenario,maturity,y0,dv01,carry,rolldown,shift_pnl,total_return,total_per_dv01
Base,2,0.0344,0.018831476138452253,0.008590257147919066,-0.0004235920963338443,2.168404344971009e-19,0.008166665051585222,0.43367099804298376
Base,5,0.0371,0.04435970040823866,0.009246202597098045,0.0008321537469904267,-2.168404344971009e-19,0.010078356344088471,0.227196222051506
Base,10,0.0417,0.07918046556924045,0.010352014453008974,0.0015851309966178246,6.505213034913027e-19,0.011937145449626799,0.15075871761815038
Base,30,0.0484,0.15289294345758872,0.011880963364237494,0.00022937863482191864,-8.131516293641283e-19,0.012110341999059412,0.07920798517701848
Bear Steepener (+50/+150bp),2,0.0344,0.018831476138452253,0.008590257147919066,-0.0004235920963338443,-0.010290460459531041,-0.002123795407945819,-0.11277901914493106
Bear Steepener (+50/+150bp),5,0.0371,0.04435970040823866,0.009246202597098045,0.0008321537469904267,-0.028430048691122204,-0.01835169234703373,-0.41370190010628166
Bear Steepener (+50/+150bp),10,0.0417,0.07918046556924045,0.010352014453008974,0.0015851309966178246,-0.06251282675419927,-0.050575681304572476,-0.6387393777111082
Bear Steepener (+50/+150bp),30,0.0484,0.15289294345758872,0.011880963364237494,0.00022937863482191864,-0.19373273653667372,-0.1816223945376143,-1.1879056706629165
Bull Flattener (-150/-50bp),2,0.0344,0.018831476138452253,0.008590257147919066,-0.0004235920963338443,0.02777141883479774,0.03593808388638296,1.9084050353864979
Bull Flattener (-150/-50bp),5,0.0371,0.04435970040823866,0.009246202597098045,0.0008321537469904267,0.062065082200184,0.07214343854427248,1.6263283538964954
Bull Flattener (-150/-50bp),10,0.0417,0.07918046556924045,0.010352014453008974,0.0015851309966178246,0.09920207970912702,0.11113922515875381,1.403619243202941
Bull Flattener (-150/-50bp),30,0.0484,0.15289294345758872,0.011880963364237494,0.00022937863482191864,0.08250121858170739,0.09461156058076681,0.6188092036243079
Parallel +100bp,2,0.0344,0.018831476138452253,0.008590257147919066,-0.0004235920963338443,-0.01859412512336559,-0.01042746007178037,-0.553725050288989
Parallel +100bp,5,0.0371,0.04435970040823866,0.009246202597098045,0.0008321537469904267,-0.04326020441688717,-0.03318184807279869,-0.7480178578175435
Parallel +100bp,10,0.0417,0.07918046556924045,0.010352014453008974,0.0015851309966178246,-0.07565117368002532,-0.06371402823039853,-0.804668522372894
Parallel +100bp,30,0.0484,0.15289294345758872,0.011880963364237494,0.00022937863482191864,-0.1368457043420595,-0.12473536234300009,-0.815834658697644
