horizon,maturity,carry_plus_roll_per_dv01
1M,2,0.14455562926322854
1M,5,0.07573002282549475
1M,10,0.05024863349170647
1M,30,0.026402604383426124
3M,2,0.43367099804298376
3M,5,0.227196222051506
3M,10,0.15075871761815038
3M,30,0.07920798517701848
6M,2,0.8636561046790159
6M,5,0.44451688858846394
6M,10,0.2963016270178585
6M,30,0.15749746458407948
12M,2,1.7493687789206611
12M,5,0.881920604457367
12M,10,0.5892984518660559
12M,30,0.31492774667321943
