maturity,y0,carry,rolldown,carry_plus_roll
2,0.0344,0.008590257147919066,-0.0004235920963338443,0.008166665051585222
5,0.0371,0.009246202597098045,0.0008321537469904267,0.010078356344088471
10,0.0417,0.010352014453008974,0.0015851309966178246,0.011937145449626799
30,0.0484,0.011880963364237494,0.00022937863482191864,0.012110341999059412
